"id","timestamp","type_url","site","kafka_timestamp","kafka_cluster","kafka_topic","kafka_partition","kafka_offset","browser_resolution","page","repository_public","actor_login","client_id","referrer","user_agent","repository_id","app","title","ip_region_code","repository_nwo","ip_country_code","ip_city","browser_vendor","browser_timestamp","actor_id","ip_longitude","user_login","browser","browser_timezone_offset","screen_resolution","os_version","pixel_ratio","ip","user_id","actor_valid","browser_category","context","ip_latitude","os","browser_version","browser_language","browser_languages"
"e304a481-4ca7-48ad-89c4-4123e896e35c","2025-01-20 02:22:40.8020","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ash1-iad","2025-01-20 02:22:40.8040","yukon","cp1-iad.ingest.analytics.v0.PageView","10","9,753,018,190","1366x633","https://github.blog/jp/","","","1292903896.1734314303","https://github.blog/jp/2024-09-27-github-copilot-now-available-in-github-com-for-copilot-individual-and-copilot-business-plans/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","13","","JP","Tokyo","Google","2025-01-20T02:22:41.0000000Z","","139.6899","","Chrome","9","1366x768","NT 10.0","1","43.206.61.220","","","pc","{""tz_seconds"":""32400"",""event_id"":""6c78e7cc-d6d5-11ef-8d99-40f0edc32eb7"",""server"":""collector-79d9cc5865-km8qr""}","35.6893","Windows 10","132.0.0.0","",""
"e25dd197-9bac-419c-b702-0b3828787a62","2025-01-20 02:40:22.9750","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-20 02:40:22.9770","yukon","cp1-iad.ingest.analytics.v0.PageView","14","9,754,330,512","2048x1064","https://github.blog/jp/","","","971316669.1737340815","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","14","","JP","Yokosuka","Google","2025-01-20T02:40:22.0000000Z","","139.6785","","Chrome","9","2048x1152","10.15.7","2","92.202.152.170","","","pc","{""tz_seconds"":""32400"",""event_id"":""e593a8b6-d6d7-11ef-9e0a-9c5d1f6711a7"",""server"":""collector-79d9cc5865-j6gbq""}","35.2935","Mac OSX","131.0.0.0","",""
"4d462f7c-a69a-48d4-98c4-bea8a18b3ded","2025-01-20 23:53:29.7210","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-20 23:53:29.7230","yukon","cp1-iad.ingest.analytics.v0.PageView","14","9,762,772,686","1842x959","https://github.blog/jp/","","","851148020.1728949786","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","","","JP","","Google","2025-01-20T23:53:25.0000000Z","","139.6895","","Chrome","9","1920x1080","NT 10.0","1","137.83.216.46","","","pc","{""tz_seconds"":""32400"",""event_id"":""bfa0244c-d789-11ef-840d-e90ae577233a"",""server"":""collector-79d9cc5865-k6jg7""}","35.6897","Windows 10","132.0.0.0","",""
"071661b3-e694-4908-9140-c4430cb89882","2025-01-20 23:54:10.9540","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-20 23:54:10.9570","yukon","cp1-iad.ingest.analytics.v0.PageView","4","11,489,825,073","444x804","https://github.blog/jp/","","","273454709.1737417251","https://www.google.com/","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","","","JP","","Google","2025-01-20T23:54:11.0000000Z","","139.6895","","Chrome","9","444x995","10","2.4375","126.158.227.67","","","smartphone","{""tz_seconds"":""32400"",""event_id"":""d833da44-d789-11ef-889b-cbc510cd7e47"",""server"":""collector-79d9cc5865-skvx8""}","35.6897","Android","130.0.0.0","",""
"6ed446bd-1527-49c8-99a2-b3c0bdb07503","2025-01-20 23:54:45.4490","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-20 23:54:45.4520","yukon","cp1-iad.ingest.analytics.v0.PageView","13","9,763,251,122","1280x665","https://github.blog/jp/","","","2108303294.1737417285","https://github.co.jp/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","10","","JP","Kiryū","Google","2025-01-20T23:54:44.0000000Z","","139.3374","","Chrome","9","1280x800","NT 10.0","1.5","133.8.41.23","","","pc","{""tz_seconds"":""32400"",""event_id"":""ecc342b0-d789-11ef-8343-d6e5aada1b46"",""server"":""collector-79d9cc5865-5sl4h""}","36.3947","Windows 10","131.0.0.0","",""
"3abe296d-cb16-4586-9e6b-e40ef05e8127","2025-01-21 02:11:36.4150","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-21 02:11:36.4190","yukon","cp1-iad.ingest.analytics.v0.PageView","9","9,761,877,692","2354x1580","https://github.blog/jp/","","","2079388362.1737425263","https://www.google.com/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","24","","JP","Suzuka","Google","2025-01-21T02:11:35.0000000Z","","136.5796","","Chrome","9","2560x1600","10.15.7","1","103.2.36.43","","","pc","{""tz_seconds"":""32400"",""event_id"":""0ae154cc-d79d-11ef-9894-cbc6b45802a1"",""server"":""collector-79d9cc5865-7f4w4""}","34.8853","Mac OSX","132.0.0.0","",""
"bde6648e-35b1-4053-99fe-e8f341ef5253","2025-01-21 02:12:10.4200","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-21 02:12:10.4230","yukon","cp1-iad.ingest.analytics.v0.PageView","3","11,491,082,213","2354x1580","https://github.blog/jp/","","","2079388362.1737425263","https://github.blog/jp/page/3/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","24","","JP","Suzuka","Google","2025-01-21T02:12:10.0000000Z","","136.5796","","Chrome","9","2560x1600","10.15.7","1","103.2.36.43","","","pc","{""tz_seconds"":""32400"",""event_id"":""1f261512-d79d-11ef-8a79-2a2f1fc1c0da"",""server"":""collector-79d9cc5865-skvx8""}","34.8853","Mac OSX","132.0.0.0","",""
"565b03b3-3d15-4806-93e8-4f420cff458c","2025-01-21 02:13:42.6130","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-21 02:13:42.6150","yukon","cp1-iad.ingest.analytics.v0.PageView","9","9,761,886,833","2354x1580","https://github.blog/jp/","","","2079388362.1737425263","https://www.google.com/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","24","","JP","Suzuka","Google","2025-01-21T02:13:42.0000000Z","","136.5796","","Chrome","9","2560x1600","10.15.7","1","103.2.36.43","","","pc","{""tz_seconds"":""32400"",""event_id"":""561987e8-d79d-11ef-96db-8808d06de148"",""server"":""collector-79d9cc5865-52qrh""}","34.8853","Mac OSX","132.0.0.0","",""
"a203adb0-4774-4476-aaf2-bee1d806153b","2025-01-28 01:48:26.1210","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ash1-iad","2025-01-28 01:48:26.1230","yukon","cp1-iad.ingest.analytics.v0.PageView","11","9,819,637,583","1912x928","https://github.blog/jp/","","","368819964.1738028905","https://github.co.jp/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","","","JP","","Microsoft","2025-01-28T01:48:25.0000000Z","","139.69","","Edge","9","1920x1080","NT 10.0","1","210.233.111.190","","","pc","{""tz_seconds"":""32400"",""event_id"":""f7177ca0-dd19-11ef-83f9-54ee53b4078c"",""server"":""collector-94c7778f9-497cm""}","35.69","Windows 10","132.0.0.0","",""
"70cf349c-2a7d-449e-ae18-c13320363574","2025-01-28 01:57:56.2040","hydro-schemas.github.net/hydro.schemas.analytics.v0.PageView","ac4-iad","2025-01-28 01:57:56.2080","yukon","cp1-iad.ingest.analytics.v0.PageView","0","11,547,159,796","1329x854","https://github.blog/jp/","","","783400554.1738029462","https://www.google.com/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","","github-blog","GitHubブログ - 製品アップデートや開発に関するアイディアやインスピレーションなど、エンジニアの皆さんに役立つ情報を発信します。","27","","JP","Osaka","Google","2025-01-28T01:57:55.0000000Z","","135.5005","","Chrome","9","1920x1080","10.15.7","1","134.238.4.83","","","pc","{""tz_seconds"":""32400"",""event_id"":""4ae33c56-dd1b-11ef-8eb0-1f611dbda35f"",""server"":""collector-94c7778f9-zbvg4""}","34.693","Mac OSX","132.0.0.0","",""
